range,sample_size,mae,error_min,error_max
0–0.5 ha,389,3.88,0.0,35.84
0.5–1 ha,83,2.61,0.0,18.1
1–2 ha,12,3.87,0.27,16.08
2+ ha,28,47.03,0.37,98.56
